Site,Age (Ma),Genus,d18O,d13C
659,0.3650,CIB,4.09,
607,0.3650,CIB,4.39,0.48
659,0.3660,CIB,4.46,
806,0.3660,CIB,4.07,-0.40
607,0.3668,CIB,4.39,0.20
659,0.3680,CIB,3.93,
849,0.3680,CIB,4.12,-0.14
607,0.3685,CIB,4.27,0.06
607,0.3716,CIB,4.34,0.41
806,0.3720,CIB,4.03,-0.26
849,0.3720,CIB,4.08,-0.12
607,0.3733,CIB,4.22,0.54
659,0.3750,CIB,4.14,
849,0.3760,CIB,4.05,-0.05
607,0.3771,CIB,4.25,0.19
806,0.3780,CIB,4.03,-0.19
607,0.3799,CIB,4.20,0.75
849,0.3800,CIB,4.02,-0.04
659,0.3820,CIB,3.99,
607,0.3832,CIB,3.96,0.83
806,0.3840,CIB,3.92,-0.03
849,0.3840,CIB,4.02,-0.03
607,0.3865,CIB,3.88,0.92
849,0.3880,CIB,3.97,-0.06
659,0.3890,CIB,3.85,
806,0.3890,CIB,3.48,-0.21
607,0.3898,CIB,3.78,0.84
849,0.3920,CIB,3.84,0.01
607,0.3931,CIB,3.74,0.85
806,0.3950,CIB,3.54,-0.01
849,0.3960,CIB,3.41,0.25
607,0.3964,CIB,3.56,0.97
607,0.3979,CIB,3.41,1.23
659,0.3980,CIB,3.66,
607,0.3987,CIB,3.29,1.30
849,0.4000,CIB,3.19,0.28
607,0.4009,CIB,3.04,1.29
806,0.4010,CIB,3.24,0.30
607,0.4017,CIB,2.81,1.06
607,0.4033,CIB,3.18,1.05
849,0.4040,CIB,3.15,0.24
607,0.4046,CIB,3.33,1.01
659,0.4050,CIB,2.89,
806,0.4060,CIB,3.14,0.33
607,0.4060,CIB,3.67,0.93
607,0.4075,CIB,3.64,0.73
849,0.4080,CIB,3.25,0.25
607,0.4090,CIB,3.63,0.56
659,0.4100,CIB,3.34,
659,0.4100,CIB,3.34,
607,0.4106,CIB,3.81,-0.61
806,0.4120,CIB,3.10,0.26
849,0.4120,CIB,3.35,0.26
607,0.4125,CIB,4.77,-0.56
659,0.4130,CIB,3.24,
