borocode	precinct	year	month	lon	lat	street1	street2	collisions	persons_involved	collisions_with_injuries	motorists_injured	passengers_injured	cyclists_injured	pedestr_injured	total_injured	motorists_killed	passengers_killed	cyclists_killed	pedestr_killed	total_killed	ambulance	bicycle	bus	fire_truck	large_com_veh_6_or_more_tires	livery_vehicle	motorcycle	other	passenger_vehicle	pedicab	pick_up_truck	scooter	small_com_veh_4_tires	sport_utility_station_wagon	taxi_vehicle	unknown	van	aggressive_driving_road_rage	alcohol_involvement	backing_unsafely	cell_phone_hand_held	driver_inattention_distraction	driver_inexperience	drugs_illegal	eating_or_drinking	err_confusn_ped_bike_other_ped	failure_to_keep_right	failure_to_yield_right_of_way	fatigued_drowsy	fell_asleep	following_too_closely	illness	listening_using_headphones	lost_consciousness	other_electronic_device	other_uninvolved_vehicle	outside_car_distraction	passenger_distraction	passing_or_lane_usage	physical_disability	prescription_medication	texting	traffic_control_disregarded	turning_improperly	unsafe_lane_changing	unsafe_speed	vehicle_vandalism
3	78	2011	8	-73.983585	40.664489	13 STREET	7 AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																																		1				
3	78	2011	8	-73.985699	40.673975	3 STREET	4 AVENUE	3	13	2	0	2	1	0	3	0	0	0	0	0																																			1										1		
3	78	2011	8	-73.98765	40.671521	4 AVENUE	7 STREET	2	4	1	0	0	1	0	1	0	0	0	0	0		1							2							1																			1				1								
3	78	2011	8	-73.980121	40.68189	4 AVENUE	ST MARKS PLACE	1	2	1	0	0	1	0	1	0	0	0	0	0		1												1														1																			
3	78	2011	8	-73.986305	40.669172	5 AVENUE	9 STREET	3	8	2	0	0	1	3	4	0	0	0	0	0		1							4														1					1							1												
3	78	2011	8	-73.979598	40.67768	5 AVENUE	LINCOLN PLACE	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																																		1		1		
3	78	2011	8	-73.97469	40.680267	6 AVENUE	FLATBUSH AVENUE	3	6	1	0	0	1	0	1	0	0	0	0	0																																															
3	78	2011	8	-73.98158	40.666887	7 AVENUE	9 STREET	2	4	1	0	0	1	0	1	0	0	0	0	0		1							3														1																1								
3	78	2011	8	-73.972716	40.677522	FLATBUSH AVENUE	PARK PLACE	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																						1																
3	79	2011	8	-73.952969	40.678641	ATLANTIC AVENUE	BEDFORD AVENUE	2	4	1	0	0	1	0	1	0	0	0	0	0		1							3										1																												
3	79	2011	8	-73.955121	40.689445	BEDFORD AVENUE	LAFAYETTE AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1														1																															
3	79	2011	8	-73.956142	40.694578	BEDFORD AVENUE	MYRTLE AVENUE	6	15	2	1	3	1	0	5	0	0	0	0	0																																					1								1		
3	79	2011	8	-73.959462	40.690443	DEKALB AVENUE	TAAFFE PLACE	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																																						
3	79	2011	8	-73.958858	40.698677	FLUSHING AVENUE	FRANKLIN AVENUE	3	5	1	0	0	1	0	1	0	0	0	0	0		2						1	3																																						
3	79	2011	8	-73.956074	40.69909	FLUSHING AVENUE	SPENCER STREET	2	5	2	0	0	1	1	2	0	0	0	0	0		1							3																																						
3	79	2011	8	-73.949557	40.68039	FULTON STREET	NOSTRAND AVENUE	2	4	2	0	1	1	0	2	0	0	0	0	0		2							1						1					1																											
3	79	2011	8	-73.959312	40.694214	KENT AVENUE	MYRTLE AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1														1							1																								
3	79	2011	8	-73.946437	40.681448	MACON STREET	MARCY AVENUE	2	4	1	0	0	1	0	1	0	0	0	0	0		1							1							2				1																											
3	79	2011	8	-73.948916	40.693905	MARCY AVENUE	WILLOUGHBY AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																																						
3	79	2011	8	-73.943526	40.69603	MYRTLE AVENUE	THROOP AVENUE	3	6	1	0	0	1	0	1	0	0	0	0	0																																															
3	81	2011	8	-73.932897	40.679484	FULTON STREET	SCHENECTADY AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1													1																																
3	81	2011	8	-73.926384	40.684503	HALSEY STREET	PATCHEN AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																										1												
3	81	2011	8	-73.917701	40.685499	HALSEY STREET	SARATOGA AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1														1																								
3	81	2011	8	-73.926969	40.687438	MADISON STREET	PATCHEN AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1						1																																							
3	83	2011	8	-73.923169	40.690122	BROADWAY	QUINCY STREET	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																																						
3	83	2011	8	-73.933697	40.698105	BUSHWICK AVENUE	STANWIX STREET	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																																						
3	83	2011	8	-73.925352	40.698081	DE KALB AVENUE	MYRTLE AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																																						
3	83	2011	8	-73.922384	40.701104	DEKALB AVENUE	KNICKERBOCKER AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1														1																								
3	83	2011	8	-73.929799	40.704303	FLUSHING AVENUE	NOLL STREET	1	2	1	0	0	1	0	1	0	0	0	0	0		1												1									1																								
3	83	2011	8	-73.912557	40.697981	IRVING AVENUE	PALMETTO STREET	2	4	2	0	1	1	0	2	0	0	0	0	0		2							2																																						
3	83	2011	8	-73.923083	40.699199	STOCKHOLM STREET	WILSON AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																																						
3	83	2011	8	-73.926085	40.700911	WILLOUGHBY AVENUE	WILSON AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1												1																																	
3	84	2011	8	-73.987227	40.6938	JAY STREET	MYRTLE AVENUE	3	6	1	0	0	1	0	1	0	0	0	0	0		1							3							2												1																			
3	84	2011	8	-73.9871	40.696222	JAY STREET	TILLARY STREET	7	14	1	0	0	1	0	1	0	0	0	0	0																							2								1				1												
3	88	2011	8	-73.973329	40.693258	CARLTON AVENUE	MYRTLE AVENUE	2	4	1	0	0	1	0	1	0	0	0	0	0		1												1	1	1																													1		
3	88	2011	8	-73.973476	40.696241	CARLTON AVENUE	PARK AVENUE	3	6	1	0	0	1	0	1	0	0	0	0	0																																															
3	88	2011	8	-73.958584	40.681742	CLASSON AVENUE	FULTON STREET	3	6	1	0	0	1	0	1	0	0	0	0	0																																											1				
3	88	2011	8	-73.96934	40.695768	CLINTON AVENUE	PARK AVENUE	2	4	1	0	0	1	0	1	0	0	0	0	0		1							3														1																								
3	90	2011	8	-73.959332	40.702528	BEDFORD AVENUE	HEWES STREET	1	2	1	0	0	1	0	1	0	0	0	0	0		1												1																																	
3	90	2011	8	-73.964957	40.711678	BERRY STREET	SOUTH 5 STREET	1	2	1	0	0	1	0	1	0	0	0	0	0		1												1																																	
3	90	2011	8	-73.922335	40.709006	FLUSHING AVENUE	SCOTT AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1														1																															
3	90	2011	8	-73.935338	40.702314	FLUSHING AVENUE	STANWIX STREET	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																																						
3	90	2011	8	-73.962833	40.698077	FLUSHING AVENUE	WILLIAMSBURG STREET WEST	1	2	1	0	0	1	0	1	0	0	0	0	0		1																																													
3	90	2011	8	-73.947243	40.711326	GRAND STREET	LEONARD STREET	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																																						
3	90	2011	8	-73.948892	40.711167	GRAND STREET	LORIMER STREET	2	4	1	0	0	1	0	1	0	0	0	0	0																																															
3	90	2011	8	-73.951117	40.710957	GRAND STREET	UNION AVENUE	4	8	2	0	0	1	1	2	0	0	0	0	0																																															
3	90	2011	8	-73.954719	40.7089	KEAP STREET	SOUTH 4 STREET	1	2	1	0	0	1	0	1	0	0	0	0	0		1														1																															
3	90	2011	8	-73.948195	40.706852	LORIMER STREET	MONTROSE AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1														1																															
3	90	2011	8	-73.945006	40.70791	MANHATTAN AVENUE	MESEROLE STREET	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																																						
3	90	2011	8	-73.934708	40.717208	MASPETH AVENUE	VANDERVOORT PLACE	1	2	1	0	0	1	0	1	0	0	0	0	0		1																																													
3	94	2011	8	-73.94698	40.722789	DRIGGS AVENUE	MCGUINNESS BOULEVARD	1	2	1	0	0	1	0	1	0	0	0	0	0		1												1																																	
3	94	2011	8	-73.958812	40.714824	DRIGGS AVENUE	METROPOLITAN AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																			1																			
3	94	2011	8	-73.958224	40.715373	DRIGGS AVENUE	NORTH 4 STREET	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1														1																								
3	94	2011	8	-73.952439	40.734689	FREEMAN STREET	MC GUINNESS BOULEVARD	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																			1																			
3	94	2011	8	-73.963492	40.718669	KENT AVENUE	NORTH 4 STREET	1	2	1	0	0	1	0	1	0	0	0	0	0		1													1																				1												
3	94	2011	8	-73.962312	40.719769	KENT AVENUE	NORTH 6 STREET	3	7	1	0	0	1	0	1	0	0	0	0	0																																												1			
3	94	2011	8	-73.951738	40.725436	MANHATTAN AVENUE	NORMAN AVENUE	6	12	2	0	1	1	0	2	0	0	0	0	0																				1			6								1																
3	94	2011	8	-73.939138	40.723077	MEEKER AVENUE	MORGAN AVENUE	4	8	1	0	0	1	0	1	0	0	0	0	0																																											2	1			
3	94	2011	8	-73.942635	40.725794	MONITOR STREET	NASSAU AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1												1														1																			
3	94	2011	8	-73.942944	40.72766	MONITOR STREET	NORMAN AVENUE	2	4	1	0	0	1	0	1	0	0	0	0	0		1							2							1																							2								
3	94	2011	8	-73.937259	40.718792	MORGAN AVENUE	WITHERS STREET	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																										1												
2	40	2011	8	-73.917952	40.806123	EAST 137 STREET	SAINT ANNS AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1												1																																	
2	40	2011	8	-73.914097	40.812301	EAST 146 STREET	ST ANNS AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																																						
2	40	2011	8	-73.905315	40.817924	EAST 156 STREET	WESTCHESTER AVENUE	2	4	1	0	0	1	0	1	0	0	0	0	0																							1																1								
2	42	2011	8	-73.907031	40.828278	3 AVENUE	EAST 166 STREET	1	2	1	0	0	1	0	1	0	0	0	0	0		1															1																										1				
2	42	2011	8	-73.900914	40.839935	BATHGATE AVENUE	EAST 172 STREET	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																										1												
2	42	2011	8	-73.891877	40.830137	FREEMAN STREET	SOUTHERN BOULEVARD	1	2	1	0	0	1	0	1	0	0	0	0	0		1												1																																	
2	43	2011	8	-73.865472	40.837676	ARCHER STREET	THERIOT AVENUE	2	4	1	0	0	1	0	1	0	0	0	0	0		1							2							1							1												1												
2	43	2011	8	-73.879368	40.833484	BOYNTON AVENUE	EAST 173 STREET	1	2	1	0	0	1	0	1	0	0	0	0	0		1				1																																									
2	43	2011	8	-73.875284	40.824208	BRUCKNER BOULEVARD	MANOR AVENUE	2	4	1	0	0	1	0	1	0	0	0	0	0		1							1					2																																	
2	43	2011	8	-73.866667	40.85	CROSS BRONX SERVICE ROAD NORTH	HUGH GRANT CIRCLE	1	2	1	0	0	1	0	1	0	0	0	0	0		1				1																																						1			
2	43	2011	8	-73.877923	40.831388	EAST 172 STREET	WARD AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1														1																			1												
2	43	2011	8	-73.854807	40.82103	HOMER AVENUE	PUGSLEY AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																			1																			
2	44	2011	8	-73.92125	40.839935	EDWARD L GRANT HIGHWAY	WEST 170 STREET	2	4	1	0	0	1	0	1	0	0	0	0	0		1							2					1				1					1								1																
2	44	2011	8	-73.927007	40.833917	WEST 165 STREET	WOODYCREST AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1															1																		2												
2	46	2011	8	-73.900613	40.850516	EAST BURNSIDE AVENUE	VALENTINE AVENUE	2	5	2	0	1	1	0	2	0	0	0	0	0		1							1																			1																			
2	46	2011	8	-73.890972	40.861994	EAST FORDHAM ROAD	WEBSTER AVENUE	2	4	1	0	0	1	0	1	0	0	0	0	0		1				1			2																																						
2	47	2011	8	-73.84718	40.892128	BRUNER AVENUE	EDENWALD AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1									1																																				
2	47	2011	8	-73.854053	40.903195	CARPENTER AVENUE	EAST 240 STREET	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																																						
2	47	2011	8	-73.867267	40.879823	EAST 213 STREET	OLINVILLE AVENUE	1	2	1	0	0	1	0	1	0	0	0	0	0		1							1																																						
