STATION,STATION_NAME,DATE,EMXT,EMNT
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19840701,328,78
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19840801,339,50
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19840901,306,-33
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19841001,222,-61
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19841101,156,-122
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19841201,167,-200
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19850101,17,-322
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19850201,100,-333
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19850301,189,-128
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19850401,289,-56
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19850501,317,0
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19850601,333,33
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19850701,322,78
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19850801,300,67
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19850901,339,0
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19851001,217,-11
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19851101,150,-150
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19851201,22,-267
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19860101,50,-294
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19860201,22,-228
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19860301,278,-167
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19860401,283,-72
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19860501,311,-28
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19860601,328,33
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19860701,344,94
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19860801,289,39
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19860901,289,22
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19861001,239,-17
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19861101,150,-167
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19861201,33,-222
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19870101,67,-244
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19870201,100,-128
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19870301,217,-117
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19870401,294,-89
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19870501,300,0
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19870601,350,50
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19870701,350,94
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19870801,350,61
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19870901,289,17
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19871001,222,-61
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19871101,222,-111
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19871201,89,-172
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19880101,78,-294
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19880201,106,-239
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19880301,172,-117
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19880401,256,-72
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19880501,317,-11
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19880601,383,17
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19880701,378,67
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19880801,389,61
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19880901,317,17
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19881001,233,-106
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19881101,178,-72
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19881201,117,-178
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19890101,133,-183
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19890201,50,-228
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19890301,239,-167
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19890401,239,-72
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19890501,294,-44
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19890601,328,56
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19890701,361,100
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19890801,328,78
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19890901,267,-22
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19891001,272,-44
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19891101,194,-161
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19891201,100,-278
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19900101,100,-144
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19900201,117,-200
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19900301,239,-89
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19900401,294,-72
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19900501,250,-17
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19900601,322,22
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19900701,344,83
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19900801,333,72
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19900901,339,50
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19901001,272,-44
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19901101,222,-78
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19901201,94,-239
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19910101,50,-267
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19910201,94,-189
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19910301,228,-100
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19910401,294,-50
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19910501,333,6
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19910601,344,67
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19910701,344,94
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19910801,333,83
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19910901,317,-28
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19911001,250,-44
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19911101,156,-172
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19911201,117,-189
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19920101,72,-217
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19920201,111,-167
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19920301,172,-128
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19920401,228,-89
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19920501,311,-39
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19920601,333,22
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19920701,322,89
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19920801,339,56
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19920901,278,-11
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19921001,272,-78
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19921101,122,-100
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19921201,39,-206
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19930101,78,-233
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19930201,83,-233
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19930301,183,-194
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19930401,233,-78
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19930501,306,17
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19930601,317,22
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19930701,317,106
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19930801,328,100
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19930901,278,-22
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19931001,278,-44
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19931101,156,-89
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19931201,89,-206
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19940101,39,-328
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19940201,100,-283
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19940301,200,-100
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19940401,289,-72
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19940501,311,-11
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19940601,372,28
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19940701,333,100
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19940801,317,72
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19940901,311,33
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19941001,250,-11
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19941101,156,-72
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19941201,128,-183
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19950101,50,-217
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19950201,89,-206
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19950301,239,-194
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19950401,206,-100
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19950501,289,6
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19950601,356,78
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19950701,383,67
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19950801,372,139
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19950901,300,-22
GHCND:USW00014837,MADISON DANE CO REGIONAL AIRPORT WI US,19951001,283,-28
